url_path,views_total,views_unique
/kingsdigitallab/sdlc-for-rse,26,6
/kingsdigitallab/sdlc-for-rse/wiki,24,9
/kingsdigitallab/sdlc-for-rse/actions,15,3
/kingsdigitallab/sdlc-for-rse/tree/stats,12,4
/kingsdigitallab/sdlc-for-rse/tree/stats/kingsdigitallab/sdlc-for-rse,11,5
/kingsdigitallab/sdlc-for-rse/actions/workflows/stats.yml,10,1
/kingsdigitallab/sdlc-for-rse/actions/runs/986379826,8,1
/kingsdigitallab/sdlc-for-rse/actions/new,6,1
/kingsdigitallab/sdlc-for-rse/pulse,5,2
/kingsdigitallab/sdlc-for-rse/network/members,5,1
