url_path,views_total,views_unique
/kingsdigitallab/sdlc-for-rse/wiki,38,23
/kingsdigitallab/sdlc-for-rse/wiki/RS-engineer,9,1
/kingsdigitallab/sdlc-for-rse/wiki/N1:-Web-Hosting-and-Infrastructure-Service-Level-Agreement-(SLA),7,3
/kingsdigitallab/sdlc-for-rse/wiki/Document-templates,6,3
/kingsdigitallab/sdlc-for-rse,5,5
/kingsdigitallab/sdlc-for-rse/wiki/A2:-Terms-of-Reference-Guidelines,3,3
/kingsdigitallab/sdlc-for-rse/wiki/A1:-Terms-of-Reference,3,2
/kingsdigitallab/sdlc-for-rse/deployments/activity_log,1,1
/kingsdigitallab/sdlc-for-rse/tree/master/images,1,1
/kingsdigitallab/sdlc-for-rse/wiki/F2:-Feasibility-guidance,1,1
