time_iso8601,clones_total,clones_unique,views_total,views_unique
2021-06-30 00:00:00+00:00,14,14,154.0,7.0
2021-07-01 00:00:00+00:00,5,5,33.0,7.0
2021-07-02 00:00:00+00:00,1,1,17.0,6.0
2021-07-03 00:00:00+00:00,2,2,,
2021-07-04 00:00:00+00:00,2,2,2.0,1.0
2021-07-05 00:00:00+00:00,5,5,1.0,1.0
2021-07-06 00:00:00+00:00,2,2,2.0,2.0
2021-07-07 00:00:00+00:00,1,1,3.0,1.0
2021-07-08 00:00:00+00:00,2,2,1.0,1.0
2021-07-09 00:00:00+00:00,4,4,,
2021-07-10 00:00:00+00:00,2,2,,
2021-07-11 00:00:00+00:00,5,5,,
2021-07-12 00:00:00+00:00,4,4,4.0,2.0
2021-07-13 00:00:00+00:00,1,1,,
