url_path,views_total,views_unique
/kingsdigitallab/sdlc-for-rse/wiki,20,8
/kingsdigitallab/sdlc-for-rse/wiki/F1:-Feasibility,6,1
/kingsdigitallab/sdlc-for-rse/wiki/Document-templates,4,2
/kingsdigitallab/sdlc-for-rse,3,3
/kingsdigitallab/sdlc-for-rse/tree/stats/kingsdigitallab/sdlc-for-rse,2,1
/kingsdigitallab/sdlc-for-rse/tree/stats,1,1
/kingsdigitallab/sdlc-for-rse/tree/stats/kingsdigitallab/sdlc-for-rse/ghrs-data,1,1
/kingsdigitallab/sdlc-for-rse/wiki/F2:-Feasibility-guidance,1,1
/kingsdigitallab/sdlc-for-rse/wiki/Glossary-of-terms,1,1
/kingsdigitallab/sdlc-for-rse/wiki/L1:-Project-Review-Record,1,1
