url_path,views_total,views_unique
/kingsdigitallab/sdlc-for-rse/wiki,21,8
/kingsdigitallab/sdlc-for-rse/wiki/F1:-Feasibility,6,1
/kingsdigitallab/sdlc-for-rse/wiki/Document-templates,5,3
/kingsdigitallab/sdlc-for-rse,3,3
/kingsdigitallab/sdlc-for-rse/wiki/F2:-Feasibility-guidance,2,2
/kingsdigitallab/sdlc-for-rse/wiki/Glossary-of-terms,2,2
/kingsdigitallab/sdlc-for-rse/tree/stats/kingsdigitallab/sdlc-for-rse,2,1
/kingsdigitallab/sdlc-for-rse/wiki/A1:-Terms-of-Reference,2,1
/kingsdigitallab/sdlc-for-rse/tree/stats,1,1
/kingsdigitallab/sdlc-for-rse/tree/stats/kingsdigitallab/sdlc-for-rse/ghrs-data,1,1
