url_path,views_total,views_unique
/kingsdigitallab/sdlc-for-rse/wiki,32,21
/kingsdigitallab/sdlc-for-rse/wiki/RS-engineer,8,1
/kingsdigitallab/sdlc-for-rse/wiki/N1:-Web-Hosting-and-Infrastructure-Service-Level-Agreement-(SLA),6,2
/kingsdigitallab/sdlc-for-rse,5,5
/kingsdigitallab/sdlc-for-rse/wiki/Document-templates,4,2
/kingsdigitallab/sdlc-for-rse/wiki/A2:-Terms-of-Reference-Guidelines,2,2
/kingsdigitallab/sdlc-for-rse/deployments/activity_log,1,1
/kingsdigitallab/sdlc-for-rse/tree/master/images,1,1
/kingsdigitallab/sdlc-for-rse/wiki/A1:-Terms-of-Reference,1,1
/kingsdigitallab/sdlc-for-rse/wiki/J1:-Statement-of-work,1,1
