time_iso8601,clones_total,clones_unique,views_total,views_unique
2021-08-30 00:00:00+00:00,2,2,,
2021-08-31 00:00:00+00:00,2,2,,
2021-09-01 00:00:00+00:00,1,1,,
2021-09-02 00:00:00+00:00,1,1,1.0,1.0
2021-09-03 00:00:00+00:00,1,1,,
2021-09-04 00:00:00+00:00,1,1,,
2021-09-05 00:00:00+00:00,2,2,5.0,1.0
2021-09-06 00:00:00+00:00,3,3,8.0,7.0
2021-09-07 00:00:00+00:00,2,2,,
2021-09-08 00:00:00+00:00,1,1,1.0,1.0
2021-09-09 00:00:00+00:00,2,2,,
2021-09-10 00:00:00+00:00,2,2,23.0,11.0
2021-09-11 00:00:00+00:00,2,2,,
