url_path,views_total,views_unique
/kingsdigitallab/sdlc-for-rse,21,5
/kingsdigitallab/sdlc-for-rse/wiki,17,9
/kingsdigitallab/sdlc-for-rse/actions,14,2
/kingsdigitallab/sdlc-for-rse/tree/stats,10,4
/kingsdigitallab/sdlc-for-rse/actions/workflows/stats.yml,10,1
/kingsdigitallab/sdlc-for-rse/actions/runs/986379826,8,1
/kingsdigitallab/sdlc-for-rse/actions/new,6,1
/kingsdigitallab/sdlc-for-rse/network/members,5,1
/kingsdigitallab/sdlc-for-rse/blob/master/.github/workflows/stats.yml,4,1
/kingsdigitallab/sdlc-for-rse/wiki/F2:-Feasibility-guidance,3,3
